file_name,Número de 44 dígitos,chNFe,xMun,Texto após último ponto e vírgula,vProd
31230902334933000140550010000050651170211015-nfe,31230902305767000154550010000109341839345649,31230902334933000140550010000050651170211015,DESTERRO DO MELO,MATMED,70.00
31230902334933000140550010000051901159015904-nfe,31230903945035000191550010002600961008935996,31230902334933000140550010000051901159015904,DESTERRO DO MELO,ESTADO ACACIA,247.50
31230902334933000140550010000051921813157010-nfe,31230967729178000220550010007482081190925855,31230902334933000140550010000051921813157010,SANTA RITA DO IBITIPOCA,ESTDO RIOCLARENSE,697.36
31230902334933000140550010000051931346015914-nfe,31230967729178000220550010007485481004980813,31230902334933000140550010000051931346015914,IBERTIOGA,ESTADO RIOCLARENSE,415.74
31230902334933000140550010000051941275108378-nfe,31230942799163000126550010001384751677262848,31230902334933000140550010000051941275108378,CARANAIBA,ESTADO BH,147.70
31230902334933000140550010000051951101019415-nfe,31230973856593001057550010007699671854272611,31230902334933000140550010000051951101019415,CRISTIANO OTONI,ESTADO PRATI,375.00
31230902334933000140550010000051961175102100-nfe,31230903945035000191550010002610231008974787,31230902334933000140550010000051961175102100,CRISTIANO OTONI,ESTADO,1293.46
31230902334933000140550010000051971557778119-nfe,31230921681325000157550010002292981556813533,31230902334933000140550010000051971557778119,CRISTIANO OTONI,ESTADO MULTI,243.70
31230902334933000140550010000051981580137105-nfe,31230921681325000157550010002292951314821966,31230902334933000140550010000051981580137105,CARANAIBA,ESTADO MULTI,243.70
31230902334933000140550010000051991210481046-nfe,31230931495759000116550010000057581166655702,31230902334933000140550010000051991210481046,CARANAIBA,ESTADO SIRIO,266.73
31230902334933000140550010000052001576364585-nfe,31230903945035000191550010002598221008931432,31230902334933000140550010000052001576364585,CARANAIBA,ESTADO ACACIA,137.40
31230902334933000140550010000052011538989104-nfe,31230903945035000191550010002601741008936850,31230902334933000140550010000052011538989104,CARANAIBA,ESTADO ACACIA,115.50
31230902334933000140550010000052021211046944-nfe,31230921681325000157550010002295151453871135,31230902334933000140550010000052021211046944,SANTA RITA DO IBITIPOCA,MULTI ESTADO,268.45
31230902334933000140550010000052031096106690-nfe,31230921681325000157550010002296111880935835,31230902334933000140550010000052031096106690,PAIVA,MULTI ESTADO,772.80
31230902334933000140550010000052041893563382-nfe,31230905194502000114550010003385421121299709,31230902334933000140550010000052041893563382,SANTA RITA DO IBITIPOCA,ESTADO ALFALAGOS,109.05
31230902334933000140550010000052051645060884-nfe,31230903945035000191550010002595861008925816,31230902334933000140550010000052051645060884,CIPOTANEA,ESTADO ACACIA,206.10
31230902334933000140550010000052061210766829-nfe,,31230902334933000140550010000052061210766829,CIPOTANEA,ACACIA ESTADO,444.64
31230902334933000140550010000052071610106726-nfe,31230925031668000127550010000500561433115670,31230902334933000140550010000052071610106726,CIPOTANEA,ESTADO SAMEH,99.54
31230902334933000140550010000052081000762180-nfe,31230931495759000116550010000057591724369955,31230902334933000140550010000052081000762180,DESTERRO DO MELO,ESTADO SIRIO,531.70
31230902334933000140550010000052091121106108-nfe,31230900874929000140550010004997721722734881,31230902334933000140550010000052091121106108,DESTERRO DO MELO,MED,1340.64
31230902334933000140550010000052101160880120-nfe,31230903945035000191550010002612921008981331,31230902334933000140550010000052101160880120,IBERTIOGA,ESTADO ACACIA,444.64
31230902334933000140550010000052111101238864-nfe,31230903945035000191550010002609411008972957,31230902334933000140550010000052111101238864,IBERTIOGA,ACACIA ESTADO,365.94
31230902334933000140550010000052131352157568-nfe,31230903945035000191550010002612901008981302,31230902334933000140550010000052131352157568,CIPOTANEA,ACACIA ESTADO,177.86
31230902334933000140550010000052141632214100-nfe,31230903945035000191550010002613581008982137,31230902334933000140550010000052141632214100,SANTA RITA DO IBITIPOCA,ACACIA ESTADO,222.32
31230902334933000140550010000052151711058745-nfe,31230903945035000191550010002612301008980510,31230902334933000140550010000052151711058745,DESTERRO DO MELO,ACACIA ESTADO,1369.49
31230902334933000140550010000052161091084920-nfe,31230903945035000191550010002613631008982196,31230902334933000140550010000052161091084920,CIPOTANEA,ESTADO ACACIA,889.28
31230902334933000140550010000052171943681322-nfe,31230973856593001057550010007700151415673775,31230902334933000140550010000052171943681322,RESSAQUINHA,ESTADO PRATI,360.00
31230902334933000140550010000052181810518983-nfe,31230921681325000157550010002294171372358941,31230902334933000140550010000052181810518983,RESSAQUINHA,MULTI ESTADO,406.60
31230902334933000140550010000052191557786226-nfe,31230902814497000700550200011720981967967305,31230902334933000140550010000052191557786226,SANTA RITA DO IBITIPOCA,CIMED ESTADO,156.00
31230902334933000140550010000052201107861074-nfe,31230912927876000167550010002830141004989210,31230902334933000140550010000052201107861074,ALFREDO VASCONCELOS,SOMA ESTADO,795.00
31230902334933000140550010000052211445710420-nfe,31230942799163000126550010001384161459962073,31230902334933000140550010000052211445710420,RESSAQUINHA,31230942799163000126550010001384161459962073,177.24
31230902334933000140550010000052221912810171-nfe,31230903945035000191550010002611221008978055,31230902334933000140550010000052221912810171,SANTA RITA DO IBITIPOCA,ACACIA ESTADO,266.78
31230902334933000140550010000052301611071347-nfe,31230903945035000191550010002612681008981026,31230902334933000140550010000052301611071347,CAPELA NOVA,ACACIA ESTADO,57.75
31230902334933000140550010000052311910121092-nfe,31230918269125000187550010006173621535135987,31230902334933000140550010000052311910121092,SANTA RITA DO IBITIPOCA,BIOHOSP ESTADO,814.45
31230902334933000140550010000052321053818312-nfe,31230918269125000187550010006173071457734693,31230902334933000140550010000052321053818312,SANTA BARBARA DO TUGURIO,BIOHOSP ESTADO,1095.10
31230902334933000140550010000052331905315814-nfe,31230918269125000187550010006173631589878454,31230902334933000140550010000052331905315814,RESSAQUINHA,BIOHOSP ESTADO,4045.74
31230902334933000140550010000052341767912216-nfe,31230918269125000187550010006176691673459068,31230902334933000140550010000052341767912216,IBERTIOGA,BIOHOSP ESTADO,4208.70
31230902334933000140550010000052351502871071-nfe,31230918269125000187550010006174791880856920,31230902334933000140550010000052351502871071,CAPELA NOVA,BIOHOSP ESTADO,6450.29
31230902334933000140550010000052361101060525-nfe,31230918269125000187550010006172101698468622,31230902334933000140550010000052361101060525,CARANAIBA,BIOHOSP ESTADO,2622.00
31231002334933000140550010000052371122514611-nfe,31230900874929000140550010005009941104997970,31231002334933000140550010000052371122514611,RESSAQUINHA,MEDCENTER ESTADO,343.80
31231002334933000140550010000052381108401101-nfe,31230902814497000700550200011753881135934893,31231002334933000140550010000052381108401101,RESSAQUINHA,CIMED ESTADO,300.00
31231002334933000140550010000052391836619515-nfe,31230902814497000700550200011748371889656987,31231002334933000140550010000052391836619515,RESSAQUINHA,CIMED ESTADO,4315.00
31231002334933000140550010000052401470001000-nfe,31230912047164000153550010001822491210235177,31231002334933000140550010000052401470001000,RESSAQUINHA,GLOBAL HOSPITALAR ESTADO,1461.79
31231002334933000140550010000052411996737565-nfe,31230905194502000114550010003391951121337011,31231002334933000140550010000052411996737565,CARANDAI,ALFALAGOS,2052.00
31231002334933000140550010000052421107855519-nfe,31230902814497000700550200011752511325455346,31231002334933000140550010000052421107855519,CAPELA NOVA,CIMED ESTADO,1609.50
31231002334933000140550010000052431011083148-nfe,31230903945035000191550010002606801008967939,31231002334933000140550010000052431011083148,CAPELA NOVA,ACACIA ESTADO,1298.44
31231002334933000140550010000052441351339960-nfe,31230912047164000153550010001822611284286829,31231002334933000140550010000052441351339960,CAPELA NOVA,GLOBAL HOSPITALAR ESTADO,555.23
31231002334933000140550010000052451103936362-nfe,31230902814497000700550200011753551917052136,31231002334933000140550010000052451103936362,CARANAIBA,CIMED ESTADO,280.00
31231002334933000140550010000052461106543385-nfe,31230912047164000153550010001823151261971196,31231002334933000140550010000052461106543385,CARANAIBA,GLOBAL HOSPITALAR ESTADO,244.80
31231002334933000140550010000052481679538768-nfe,31230960665981000975550010007797981932720978,31231002334933000140550010000052481679538768,CARANAIBA,UNIAO QUIMICA ESTADO,118.80
31231002334933000140550010000052491420035160-nfe,31230900874929000140550010005009921907103864,31231002334933000140550010000052491420035160,CARANAIBA,MEDCENTER ESTADO,171.90
31231002334933000140550010000052501729656708-nfe,31230900874929000140550010005009931291773638,31231002334933000140550010000052501729656708,PAIVA,MEDCENTER ESTADO,515.70
31231002334933000140550010000052511580153100-nfe,31230900874929000140550010005009711262890195,31231002334933000140550010000052511580153100,SANTA RITA DO IBITIPOCA,MEDCENTER ESTADO,137.52
31231002334933000140550010000052521332750601-nfe,31230912047164000153550010001823171134167236,31231002334933000140550010000052521332750601,SANTA BARBARA DO TUGURIO,GLOBAL HOSPITALAR ESTADO,136.20
31231002334933000140550010000052531194258003-nfe,31230912047164000153550010001823161661941461,31231002334933000140550010000052531194258003,DESTERRO DO MELO,GLOBAL HOSPITALAR ESTADO,259.08
31231002334933000140550010000052541104685559-nfe,31230912047164000153550010001823181252108245,31231002334933000140550010000052541104685559,SANTA RITA DO IBITIPOCA,GLOBAL HOSPITALAR ESTADO,443.36
31231002334933000140550010000052551103076610-nfe,31230912047164000153550010001822621661350223,31231002334933000140550010000052551103076610,IBERTIOGA,GLOBAL HOSPITALAR ESTADO,10.20
31231002334933000140550010000052561339341048-nfe,31230902814497000700550200011753381132864388,31231002334933000140550010000052561339341048,IBERTIOGA,CIMED ESTADO,610.00
31231002334933000140550010000052571401457900-nfe,31230925031668000127550010000505061439664859,31231002334933000140550010000052571401457900,DESTERRO DE ENTRE RIOS,SAMEH ESTADO,91.20
31231002334933000140550010000052581295105438-nfe,31230921681325000157550010002299371163401569,31231002334933000140550010000052581295105438,ANTONIO CARLOS,MUTIFARMA ESTADO,2515.67
31231002334933000140550010000052591170105871-nfe,31230931495759000116550010000059651359788696,31231002334933000140550010000052591170105871,PAIVA,SIRIO ESTADO,106.10
31231002334933000140550010000052601313072352-nfe,31230931495759000116550010000059641024621210,31231002334933000140550010000052601313072352,ANTONIO CARLOS,SIRIO ESTADO,1129.83
31231002334933000140550010000052611610768103-nfe,31230925031668000127550010000503551864723880,31231002334933000140550010000052611610768103,IBERTIOGA,SAMEH ESTADO,145.32
31231002334933000140550010000052621102717722-nfe,31230900874929000140550010005008251634720506,31231002334933000140550010000052621102717722,IBERTIOGA,MEDCENTER ESTADO,97.80
31231002334933000140550010000052631889774758-nfe,31230900874929000140550010005008241486131926,31231002334933000140550010000052631889774758,ANTONIO CARLOS,MEDCENTER ESTADO,97.80
31231002334933000140550010000052641630271150-nfe,31230900874929000140550010005008261474551547,31231002334933000140550010000052641630271150,SANTA RITA DO IBITIPOCA,MEDCENTER ESTADO,19.56
31231002334933000140550010000052651011450210-nfe,31230803945035000191550010002542451008773000,31231002334933000140550010000052651011450210,ANTONIO CARLOS,ACACIA ESTADO,1219.80
31231002334933000140550010000052661244376053-nfe,31230903945035000191550010002623761009006525,31231002334933000140550010000052661244376053,PAIVA,ACACIA ESTADO,173.17
31231002334933000140550010000052671510697356-nfe,31230905194502000114550010003391821121336882,31231002334933000140550010000052671510697356,ALFREDO VASCONCELOS,ALFALAGOS,205.20
